original_title,year,genre,duration,country,language,imdb_score,worldwide_gross_income,tomatometer_rating,imdb_scaled
The 39 Steps,1935,"Mystery, Thriller",86,UK,English,7.6,0.051711,96.0,76.0
A Night at the Opera,1935,"Comedy, Music, Musical",96,USA,"English, Italian",7.9,3.9567,98.0,79.0
Roberta,1935,"Comedy, Musical, Romance",106,USA,"English, French, Russian",7.1,0.002493,86.0,71.0
Fury,1936,"Crime, Drama, Film-Noir",92,USA,English,7.9,0.011712,100.0,79.0
Modern Times,1936,"Comedy, Drama, Family",87,USA,English,8.5,0.457688,100.0,85.0
Swing Time,1936,"Comedy, Musical, Romance",103,USA,"English, French",7.6,0.004961,97.0,76.0
Pépé le Moko,1937,"Crime, Drama, Romance",94,France,"French, Arabic",7.7,0.155895,100.0,77.0
Shall We Dance,1937,"Comedy, Musical, Romance",109,USA,"English, French",7.5,0.006662,89.0,75.0
Snow White and the Seven Dwarfs,1937,"Animation, Family, Fantasy",83,USA,English,7.6,184.925486,98.0,76.0
Bringing Up Baby,1938,"Comedy, Family, Romance",102,USA,English,7.9,0.01118,93.0,79.0
Holiday,1938,"Comedy, Romance",95,USA,English,7.8,0.014486,100.0,78.0
The Lady Vanishes,1938,"Mystery, Thriller",96,UK,"English, German, French, Italian",7.8,0.039776,98.0,78.0
Drums Along the Mohawk,1939,"Drama, History, Romance",104,USA,English,7.1,0.01036,82.0,71.0
Mr. Smith Goes to Washington,1939,"Comedy, Drama",129,USA,English,8.1,0.144738,96.0,81.0
Only Angels Have Wings,1939,"Adventure, Drama, Romance",121,USA,"English, Spanish",7.7,0.008554,100.0,77.0
The Wizard of Oz,1939,"Adventure, Family, Fantasy",102,USA,English,8.0,26.142032,98.0,80.0
The Women,1939,"Comedy, Drama",133,USA,"English, French",7.8,0.016161,92.0,78.0
Wuthering Heights,1939,"Drama, Romance",104,USA,English,7.6,0.624643,96.0,76.0
The Great Dictator,1940,"Comedy, Drama, War",125,USA,"English, Esperanto",8.4,0.969879,93.0,84.0
The Letter,1940,"Crime, Drama, Film-Noir",95,USA,English,7.6,0.016455,100.0,76.0
The Mark of Zorro,1940,"Action, Adventure, Romance",94,USA,"English, Spanish",7.5,0.003424,91.0,75.0
The Philadelphia Story,1940,"Comedy, Romance",112,USA,"English, French",7.9,0.411442,100.0,79.0
Pinocchio,1940,"Animation, Comedy, Family",88,USA,English,7.4,121.892045,100.0,74.0
The Shop Around the Corner,1940,"Comedy, Drama, Romance",99,USA,English,8.1,0.036368,100.0,81.0
Waterloo Bridge,1940,"Drama, Romance, War",108,USA,"English, French",7.8,0.031111,80.0,78.0
Citizen Kane,1941,"Drama, Mystery",119,USA,"English, Italian",8.3,1.594107,100.0,83.0
Dumbo,1941,"Animation, Drama, Family",64,USA,English,7.2,0.003731,98.0,72.0
The Lady Eve,1941,"Comedy, Romance",94,USA,English,7.8,0.01302,100.0,78.0
The Maltese Falcon,1941,"Film-Noir, Mystery",100,USA,English,8.0,0.001255,100.0,80.0
The Sea Wolf,1941,"Adventure, Drama",100,USA,English,7.5,0.006192,100.0,75.0
Sergeant York,1941,"Biography, Drama, History",134,USA,"English, French, German",7.7,16.364924,86.0,77.0
Sullivan's Travels,1941,"Adventure, Comedy, Drama",90,USA,English,7.9,0.010249,100.0,79.0
The Wolf Man,1941,Horror,70,USA,English,7.3,0.00042,90.0,73.0
Bambi,1942,"Animation, Drama, Family",70,USA,English,7.3,267.44715,90.0,73.0
Casablanca,1942,"Drama, Romance, War",102,USA,"English, French, German, Italian",8.5,4.374761,99.0,85.0
Jungle Book,1942,"Action, Adventure, Family",108,"USA, UK",English,6.7,3.905444,57.0,67.0
Kings Row,1942,"Drama, Mystery, Romance",127,USA,"English, French",7.5,5.093,100.0,75.0
Kate & Leopold,2001,"Comedy, Fantasy, Romance",118,USA,"English, French",6.4,76.019048,50.0,64.0
Went the Day Well?,1942,"Thriller, War",92,UK,"English, German",7.5,0.047214,93.0,75.0
The Life and Death of Colonel Blimp,1943,"Drama, Romance, War",163,UK,"English, French, German",8.1,0.030129,96.0,81.0
Double Indemnity,1944,"Crime, Drama, Film-Noir",107,USA,English,8.3,0.013886,97.0,83.0
