original_title,year,genre,duration,country,language,imdb_score,worldwide_gross_income,tomatometer_rating,imdb_scaled
The Beast Within,1982,Horror,98,USA,English,5.6,7.742572,9.0,56.0
The Beastmaster,1982,"Action, Adventure, Fantasy",118,"USA, West Germany",English,6.2,14.056528,50.0,62.0
Best Friends,1982,"Comedy, Drama, Romance",116,USA,"English, Spanish",5.5,36.821203,62.0,55.0
The Best Little Whorehouse in Texas,1982,"Comedy, Musical",114,USA,English,6.0,69.701637,50.0,60.0
Blade Runner,1982,"Action, Sci-Fi, Thriller",117,USA,"English, German, Cantonese, Japanese, Hungarian, Arabic",8.1,41.492614,90.0,81.0
The Border,1982,"Crime, Drama",108,USA,"English, Spanish",6.4,6.118683,80.0,64.0
Cannery Row,1982,"Comedy, Drama, Romance",120,USA,English,6.7,5.301539,71.0,67.0
Cat People,1982,"Fantasy, Horror, Thriller",118,USA,English,6.2,7.0,61.0,62.0
The Challenge,1982,"Action, Drama",113,"USA, Japan","English, Japanese",6.3,2.977706,57.0,63.0
Creepshow,1982,"Comedy, Fantasy, Horror",120,USA,English,6.9,21.028755,73.0,69.0
The Dark Crystal,1982,"Adventure, Family, Fantasy",93,"USA, UK",English,7.2,41.630431,79.0,72.0
Dead Men Don't Wear Plaid,1982,"Comedy, Crime, Mystery",88,USA,English,6.9,18.19617,79.0,69.0
Deathtrap,1982,"Comedy, Crime, Mystery",116,USA,English,7.0,19.282134,71.0,70.0
Diner,1982,"Comedy, Drama",110,USA,English,7.1,14.099953,93.0,71.0
The Escape Artist,1982,"Comedy, Crime, Drama",94,USA,English,6.2,0.143369,80.0,62.0
The Evil Dead,1981,Horror,85,USA,English,7.5,2.893091,95.0,75.0
Evil Under the Sun,1982,"Crime, Drama, Mystery",117,UK,"English, German, French",7.1,6.110566,90.0,71.0
Firefox,1982,"Action, Adventure, Thriller",136,USA,"English, Russian",6.0,46.708276,38.0,60.0
First Blood,1982,"Action, Adventure",93,USA,English,7.7,125.212904,85.0,77.0
Fitzcarraldo,1982,"Adventure, Drama",158,"West Germany, Peru","German, English, Spanish, Quechua, Italian",8.1,0.002874,78.0,81.0
Gandhi,1982,"Biography, Drama, History",191,"UK, India",English,8.0,52.767889,85.0,80.0
Grease 2,1982,"Comedy, Drama, Musical",115,USA,English,4.4,15.171476,36.0,44.0
Hanky Panky,1982,"Action, Comedy, Crime",110,USA,English,5.7,9.823934,33.0,57.0
Heat and Dust,1983,"Drama, Romance",130,UK,English,6.6,1.772889,85.0,66.0
Honkytonk Man,1982,"Comedy, Drama, Music",122,USA,English,6.6,4.484991,93.0,66.0
I'm Dancing as Fast as I Can,1982,"Biography, Drama",107,USA,English,6.3,0.29139,33.0,63.0
"I, the Jury",1982,"Crime, Drama, Mystery",111,USA,English,6.0,1.515578,40.0,60.0
The Last Unicorn,1982,"Animation, Adventure, Drama",92,"UK, France, West Germany, Japan, USA","English, German",7.5,6.45533,71.0,75.0
Lookin' to Get Out,1982,Comedy,105,USA,English,5.2,0.946461,31.0,52.0
The Man from Snowy River,1982,"Adventure, Drama, Romance",102,Australia,English,7.3,20.659423,85.0,73.0
Megaforce,1982,"Action, Sci-Fi",99,"Hong Kong, USA",English,3.8,5.675599,0.0,38.0
A Midsummer Night's Sex Comedy,1982,Comedy,88,USA,"English, German",6.6,9.077269,77.0,66.0
My Favorite Year,1982,"Comedy, Drama",92,USA,English,7.4,20.12362,96.0,74.0
Night Shift,1982,Comedy,106,USA,English,6.6,21.095638,92.0,66.0
An Officer and a Gentleman,1982,"Drama, Romance",124,USA,"English, Filipino",7.0,129.795554,79.0,70.0
Personal Best,1982,"Drama, Sport",124,USA,English,6.3,5.672311,73.0,63.0
Poltergeist,1982,"Horror, Thriller",114,USA,English,7.3,77.142388,86.0,73.0
Rocky III,1982,"Drama, Sport",99,"USA, Canada",English,6.8,125.049125,63.0,68.0
The Secret of NIMH,1982,"Animation, Adventure, Drama",82,USA,English,7.6,14.665733,93.0,76.0
Shoot the Moon,1982,Drama,124,USA,English,6.9,9.21753,85.0,69.0
Silent Rage,1982,"Action, Crime, Horror",103,USA,English,5.5,10.490791,80.0,55.0
Sophie's Choice,1982,"Drama, Romance",150,"UK, USA","English, Polish, German, French, Russian",7.6,30.036,78.0,76.0
Star Trek II: The Wrath of Khan,1982,"Action, Adventure, Sci-Fi",113,USA,English,7.7,78.912963,88.0,77.0
Still of the Night,1982,"Crime, Drama, Mystery",93,USA,English,6.1,5.979947,63.0,61.0
Tempest,1982,"Comedy, Drama, Fantasy",140,USA,"English, Greek",6.5,5.005245,55.0,65.0
Tex,1982,Drama,103,USA,English,6.5,7.4,85.0,65.0
The Thing,1982,"Horror, Mystery, Sci-Fi",109,USA,"English, Norwegian",8.1,19.62976,85.0,81.0
Tootsie,1982,"Comedy, Drama, Romance",116,USA,English,7.4,177.2,90.0,74.0
The Toy,1982,Comedy,102,USA,"English, German",5.9,47.118057,9.0,59.0
Trail of the Pink Panther,1982,"Comedy, Crime, Mystery",96,"UK, USA",English,5.0,9.056073,23.0,50.0
TRON,1982,"Action, Adventure, Sci-Fi",96,USA,English,6.8,33.0,72.0,68.0
Venom,1981,"Horror, Thriller",93,UK,English,5.8,5.229643,43.0,58.0
The Verdict,1982,Drama,129,USA,English,7.7,53.993738,88.0,77.0
Vice Squad,1982,"Action, Crime, Drama",97,"UK, USA",English,6.5,13.253583,60.0,65.0
Victor Victoria,1982,"Comedy, Music, Musical",134,"UK, USA","English, French",7.6,28.229046,97.0,76.0
White Dog,1982,"Drama, Horror",90,USA,English,7.1,0.046509,92.0,71.0
The World According to Garp,1982,"Comedy, Drama",136,USA,English,7.2,29.712172,74.0,72.0
Wrong Is Right,1982,"Comedy, Drama, Thriller",117,USA,English,5.7,3.583513,30.0,57.0
"Yes, Giorgio",1982,"Comedy, Musical",110,USA,"English, Italian",3.9,2.279543,33.0,39.0
10 to Midnight,1983,"Crime, Drama, Thriller",101,USA,English,6.3,7.175592,40.0,63.0
All the Right Moves,1983,"Drama, Romance, Sport",91,USA,English,5.9,17.233166,61.0,59.0
Baby It's You,1983,"Comedy, Drama, Romance",105,USA,English,6.3,1.867792,94.0,63.0
The Big Chill,1983,"Comedy, Drama",105,USA,English,7.2,56.399659,68.0,72.0
The Black Stallion Returns,1983,"Adventure, Family",103,USA,"English, Berber languages, French",6.0,12.049514,20.0,60.0
Blue Thunder,1983,"Action, Crime, Drama",109,USA,English,6.4,42.313354,77.0,64.0
Brainstorm,1983,"Sci-Fi, Thriller",106,USA,English,6.5,10.21946,55.0,65.0
Christine,1983,"Horror, Thriller",110,USA,English,6.7,21.017849,69.0,67.0
A Christmas Story,1983,"Comedy, Family",94,"USA, Canada",English,7.9,20.618717,89.0,79.0
Class,1983,"Comedy, Drama, Romance",98,USA,English,6.0,21.667789,29.0,60.0
Cujo,1983,"Horror, Thriller",93,USA,English,6.1,21.156152,63.0,61.0
Curse of the Pink Panther,1983,"Comedy, Crime, Mystery",109,"UK, USA",English,4.4,4.491986,29.0,44.0
D.C. Cab,1983,"Action, Comedy",100,USA,English,5.6,16.134627,14.0,56.0
Daniel,1983,Drama,130,"UK, USA","English, Yiddish",6.6,0.687475,43.0,66.0
The Dead Zone,1983,"Drama, Horror, Sci-Fi",103,USA,"English, Russian",7.2,20.766616,89.0,72.0
Deal of the Century,1983,"Comedy, Crime",99,USA,English,4.7,10.369581,11.0,47.0
The Dresser,1983,Drama,118,UK,English,7.6,5.310748,100.0,76.0
Easy Money,1983,Comedy,95,USA,English,6.3,29.309766,60.0,63.0
Fire and Ice,1983,"Animation, Fantasy, Adventure",81,USA,English,6.6,0.760883,60.0,66.0
Flashdance,1983,"Drama, Music, Romance",95,USA,English,6.2,92.921203,36.0,62.0
Gorky Park,1983,"Crime, Drama, Mystery",128,USA,English,6.8,15.856028,75.0,68.0
Halloween III: Season of the Witch,1982,"Horror, Mystery, Sci-Fi",98,USA,English,4.9,14.4,41.0,49.0
Hammett,1982,"Crime, Drama, Mystery",97,USA,"English, Cantonese, German",6.5,0.042914,75.0,65.0
The Hunger,1983,"Drama, Horror",97,"UK, USA",English,6.7,5.988322,53.0,67.0
The Keep,1983,"Drama, Fantasy, Horror",96,UK,English,5.8,4.218594,40.0,58.0
Krull,1983,"Action, Adventure, Fantasy",116,UK,English,6.1,16.916617,32.0,61.0
Lianna,1983,"Drama, Romance",110,USA,English,6.7,1.530839,82.0,67.0
Local Hero,1983,"Comedy, Drama",111,UK,"English, Russian, Japanese",7.3,5.895761,100.0,73.0
Lone Wolf McQuade,1983,"Action, Crime, Drama",107,USA,"English, Spanish",6.4,12.232628,57.0,64.0
The Lords of Discipline,1983,Thriller,102,USA,English,6.6,11.787127,38.0,66.0
Lovesick,1983,"Comedy, Fantasy, Romance",95,USA,English,5.2,10.171304,40.0,52.0
The Man Who Loved Women,1983,"Comedy, Drama, Romance",110,USA,English,5.3,10.96474,33.0,53.0
The Man with Two Brains,1983,"Comedy, Romance, Sci-Fi",93,USA,English,6.4,10.353438,76.0,64.0
Max Dugan Returns,1983,"Comedy, Drama",98,USA,English,6.6,17.61372,71.0,66.0
Mr. Mom,1983,"Comedy, Drama",91,USA,English,6.5,64.783827,82.0,65.0
Nate and Hayes,1983,"Action, Adventure, Comedy",99,"New Zealand, USA",English,6.2,1.963756,0.0,62.0
National Lampoon's Vacation,1983,"Adventure, Comedy",98,USA,English,7.4,61.399552,93.0,74.0
Never Cry Wolf,1983,"Adventure, Drama",105,USA,"English, Inuktitut",7.5,29.6,100.0,75.0
Never Say Never Again,1983,"Action, Adventure, Thriller",134,"UK, USA, West Germany","English, French, Spanish, Arabic",6.2,55.432841,67.0,62.0
Nightmares,1983,"Horror, Sci-Fi",99,USA,English,5.8,6.67068,29.0,58.0
Octopussy,1983,"Action, Adventure, Thriller",131,UK,"English, Russian, German, Spanish, Hindi",6.6,67.893619,43.0,66.0
Of Unknown Origin,1983,"Horror, Thriller",89,"Canada, USA",English,6.1,1.08047,57.0,61.0
The Osterman Weekend,1983,"Action, Drama, Thriller",103,USA,English,5.9,6.486797,39.0,59.0
The Outsiders,1983,"Crime, Drama",91,"USA, France",English,7.1,25.697647,63.0,71.0
The Pirates of Penzance,1983,"Comedy, Musical, Romance",112,"UK, USA",English,7.1,0.694497,81.0,71.0
Psycho II,1983,"Crime, Horror, Mystery",113,"USA, Australia",English,6.5,34.725,59.0,65.0
Star Wars: Episode VI - Return of the Jedi,1983,"Action, Adventure, Fantasy",131,USA,English,8.3,475.347111,82.0,83.0
Risky Business,1983,"Comedy, Crime, Drama",99,USA,"English, German",6.8,63.541777,92.0,68.0
Rumble Fish,1983,"Crime, Drama, Romance",94,USA,English,7.2,2.49448,73.0,72.0
Scarface,1983,"Crime, Drama",170,USA,"English, Spanish",8.3,66.023585,82.0,83.0
Spacehunter: Adventures in the Forbidden Zone,1983,"Action, Adventure, Sci-Fi",90,"USA, Canada",English,5.5,16.478265,23.0,55.0
Spring Break,1983,"Comedy, Romance",102,USA,English,5.0,24.071666,20.0,50.0
Star 80,1983,"Biography, Drama",103,"USA, West Germany",English,6.7,6.47299,86.0,67.0
The Star Chamber,1983,"Crime, Drama, Mystery",109,USA,English,6.3,5.555305,71.0,63.0
Staying Alive,1983,"Drama, Music, Romance",93,USA,English,4.7,64.89267,0.0,47.0
Strange Invaders,1983,"Horror, Mystery, Sci-Fi",94,USA,English,5.5,1.362303,63.0,55.0
Streamers,1983,"Crime, Drama, War",118,USA,English,6.5,0.378452,56.0,65.0
Stroker Ace,1983,"Action, Comedy, Romance",96,USA,English,4.9,13.0,20.0,49.0
Sudden Impact,1983,"Action, Crime, Thriller",117,USA,English,6.7,67.642693,56.0,67.0
Superman III,1983,"Action, Adventure, Comedy",125,"UK, USA","English, Italian, Spanish",5.0,59.950623,29.0,50.0
The Survivors,1983,"Comedy, Crime, Drama",103,USA,"English, Spanish",5.8,14.0,9.0,58.0
Tender Mercies,1983,"Drama, Music",92,USA,English,7.4,8.443124,84.0,74.0
Terms of Endearment,1983,"Comedy, Drama",132,USA,English,7.4,108.423489,78.0,74.0
Testament,1983,Drama,90,USA,English,6.9,2.044892,82.0,69.0
Trading Places,1983,Comedy,116,USA,English,7.5,90.4048,87.0,75.0
Twilight Zone: The Movie,1983,"Horror, Sci-Fi",101,USA,"English, French, German, Vietnamese",6.5,29.450919,58.0,65.0
Uncommon Valor,1983,"Action, Drama, Thriller",105,USA,English,6.4,30.503151,56.0,64.0
Under Fire,1983,"Drama, War",128,"USA, Mexico",English,7.0,5.696391,90.0,70.0
Valley Girl,1983,"Comedy, Romance",99,USA,English,6.4,17.343596,83.0,64.0
Videodrome,1983,"Horror, Sci-Fi, Thriller",87,Canada,English,7.2,2.120439,80.0,72.0
Yentl,1983,"Drama, Musical, Romance",133,"UK, USA","English, Hebrew",6.6,40.218899,65.0,66.0
Against All Odds,1984,"Action, Adventure, Crime",128,USA,English,5.9,21.689062,70.0,59.0
All of Me,1984,"Comedy, Fantasy, Romance",93,USA,"English, Hebrew",6.7,36.403064,85.0,67.0
Amadeus,1984,"Biography, Drama, History",160,"USA, France, Czechoslovakia, Italy","English, Italian, Latin, German",8.3,52.066791,93.0,83.0
Beat Street,1984,"Drama, Music",105,USA,English,6.5,16.595791,57.0,65.0
Beverly Hills Cop,1984,"Action, Comedy, Crime",105,USA,English,7.3,316.360478,82.0,73.0
Birdy,1984,"Drama, War",120,USA,English,7.3,1.455045,85.0,73.0
Blame It on Rio,1984,"Comedy, Romance",100,USA,"English, Portuguese",5.8,18.64457,8.0,58.0
Blood Simple,1984,"Crime, Drama, Thriller",99,USA,"English, Spanish",7.6,4.227849,94.0,76.0
Body Double,1984,"Crime, Drama, Mystery",114,USA,English,6.8,8.80194,76.0,68.0
Bolero,1984,"Comedy, Drama, Romance",105,USA,English,3.0,8.914881,0.0,30.0
The Bostonians,1984,"Drama, Romance",122,"UK, USA",English,6.3,1.0097,83.0,63.0
The Bounty,1984,"Adventure, Drama, History",132,"UK, USA, New Zealand",English,7.1,8.613462,74.0,71.0
Broadway Danny Rose,1984,Comedy,84,USA,"English, Italian, Yiddish",7.4,10.600497,100.0,74.0
The Brother from Another Planet,1984,"Comedy, Sci-Fi",108,USA,"English, Spanish",6.7,3.677209,89.0,67.0
Cannonball Run II,1984,"Action, Comedy",108,"USA, Hong Kong",English,5.1,28.078073,13.0,51.0
Children of the Corn,1984,"Horror, Thriller",92,USA,English,5.7,14.568989,35.0,57.0
City Heat,1984,"Action, Comedy, Crime",93,USA,English,5.5,38.348988,22.0,55.0
The Company of Wolves,1984,"Drama, Fantasy, Horror",95,UK,English,6.7,4.389334,80.0,67.0
Conan the Destroyer,1984,"Action, Adventure, Fantasy",103,"USA, Mexico",English,5.9,31.042035,25.0,59.0
The Cotton Club,1984,"Crime, Drama, Music",127,USA,"English, Italian",6.5,25.928721,76.0,65.0
Crimes of Passion,1984,"Drama, Romance, Thriller",107,USA,English,6.4,2.912945,36.0,64.0
Dreamscape,1984,"Action, Adventure, Horror",99,USA,English,6.3,12.145169,77.0,63.0
Dune,1984,"Action, Adventure, Sci-Fi",137,"USA, Mexico",English,6.5,30.92569,53.0,65.0
The Falcon and the Snowman,1985,"Biography, Crime, Drama",131,"UK, USA, Mexico",English,6.8,17.130087,82.0,68.0
Falling in Love,1984,"Drama, Romance",106,USA,English,6.5,11.129057,58.0,65.0
Firestarter,1984,"Action, Horror, Sci-Fi",114,USA,English,6.1,17.080167,37.0,61.0
Firstborn,1984,"Drama, Thriller",103,USA,English,6.3,6.250994,36.0,63.0
Footloose,1984,"Drama, Music, Romance",107,USA,English,6.6,80.035402,52.0,66.0
Garbo Talks,1984,"Comedy, Drama",103,USA,English,6.4,1.493782,13.0,64.0
Gremlins,1984,"Comedy, Fantasy, Horror",106,USA,"English, Spanish",7.3,153.62903,85.0,73.0
"Greystoke: The Legend of Tarzan, Lord of the Apes",1984,"Adventure, Drama",143,"UK, USA","English, French",6.4,45.858563,73.0,64.0
The Hotel New Hampshire,1984,"Comedy, Drama",109,"UK, Canada, USA",English,6.0,5.142858,71.0,60.0
The Ice Pirates,1984,"Action, Adventure, Comedy",91,USA,English,5.7,14.255801,9.0,57.0
Indiana Jones and the Temple of Doom,1984,"Action, Adventure",118,USA,"English, Sinhalese, Hindi",7.6,333.107271,84.0,76.0
The Karate Kid,1984,"Action, Drama, Family",126,USA,"English, Japanese",7.2,91.119319,89.0,72.0
The Killing Fields,1984,"Biography, Drama, History",141,UK,"English, French, Khmer, Russian",7.8,34.700291,93.0,78.0
Lassiter,1984,"Action, Crime, Drama",100,USA,English,5.9,17.513452,71.0,59.0
The Last Starfighter,1984,"Action, Adventure, Sci-Fi",101,USA,English,6.8,28.73329,74.0,68.0
The Lonely Guy,1984,"Comedy, Romance",90,USA,English,6.3,5.718573,48.0,63.0
Love Streams,1984,Drama,141,USA,"Spanish, French, English",7.8,0.008412,100.0,78.0
Micki + Maude,1984,"Comedy, Romance",118,USA,English,6.0,26.080861,70.0,60.0
Missing in Action,1984,"Action, Adventure, Drama",101,USA,"English, Vietnamese",5.5,22.812411,19.0,55.0
Mrs. Soffel,1984,"Drama, Romance",110,USA,English,6.1,4.385312,36.0,61.0
The Muppets Take Manhattan,1984,"Adventure, Comedy, Drama",94,USA,English,6.9,25.534703,83.0,69.0
The Natural,1984,"Drama, Sport",138,USA,English,7.5,47.951979,81.0,75.0
A Nightmare on Elm Street,1984,Horror,91,USA,English,7.5,25.504513,94.0,75.0
No Small Affair,1984,"Comedy, Drama, Music",102,USA,English,5.5,4.994094,57.0,55.0
"Oh, God! You Devil",1984,"Comedy, Fantasy",97,USA,English,5.5,21.53885,36.0,55.0
Once Upon a Time in America,1984,"Crime, Drama",229,"USA, Italy","English, Italian, French",8.4,5.472914,87.0,84.0
"Paris, Texas",1984,Drama,145,"West Germany, France, UK","English, Spanish",8.1,2.206121,97.0,81.0
A Passage to India,1984,"Adventure, Drama, History",164,"UK, USA","English, Hindi",7.3,27.201244,76.0,73.0
The Philadelphia Experiment,1984,"Adventure, Drama, Romance",102,USA,English,6.1,8.10333,50.0,61.0
Places in the Heart,1984,Drama,111,USA,English,7.4,34.901614,89.0,74.0
Police Academy,1984,Comedy,96,USA,English,6.7,81.198894,54.0,67.0
Protocol,1984,Comedy,96,USA,English,5.5,26.186631,25.0,55.0
Purple Rain,1984,"Drama, Music, Romance",111,USA,English,6.6,70.261906,70.0,66.0
The Razor's Edge,1984,"Drama, Romance, War",128,"UK, USA",English,6.6,6.551987,50.0,66.0
Razorback,1984,"Horror, Thriller",95,Australia,English,6.0,0.15014,58.0,60.0
Reckless,1984,"Comedy, Drama, Romance",90,USA,English,6.4,8.289916,0.0,64.0
Red Dawn,1984,"Action, Drama",114,USA,"English, Russian, Spanish",6.4,38.376497,46.0,64.0
Repo Man,1984,"Action, Comedy, Crime",92,USA,"English, Spanish",6.9,0.129,98.0,69.0
Romancing the Stone,1984,"Action, Adventure, Comedy",106,"Mexico, USA","English, Spanish, French",6.9,86.572238,85.0,69.0
Runaway,1984,"Action, Crime, Sci-Fi",99,USA,English,5.9,6.770587,47.0,59.0
Sheena,1984,"Adventure, Fantasy",117,"UK, USA",English,4.9,5.778353,30.0,49.0
"Silent Night, Deadly Night",1984,"Horror, Thriller",79,USA,English,5.9,2.49146,35.0,59.0
Sixteen Candles,1984,"Comedy, Romance",93,USA,English,7.1,23.686027,84.0,71.0
A Soldier's Story,1984,"Crime, Drama, Mystery",101,USA,English,7.2,21.821347,90.0,72.0
Splash,1984,"Comedy, Fantasy, Romance",111,USA,"English, Swedish",6.2,69.821334,,62.0
Starman,1984,"Romance, Sci-Fi",115,USA,English,7.0,28.744356,85.0,70.0
The Stone Boy,1984,Drama,91,USA,English,6.6,0.261033,67.0,66.0
Streets of Fire,1984,"Action, Crime, Drama",93,USA,English,6.7,8.08929,67.0,67.0
Supergirl,1984,"Action, Adventure, Fantasy",124,UK,English,4.4,14.296438,9.0,44.0
Swing Shift,1984,"Drama, Romance, War",100,USA,English,5.9,6.650206,87.0,59.0
Teachers,1984,"Comedy, Drama",107,USA,English,6.1,27.774237,67.0,61.0
The Terminator,1984,"Action, Sci-Fi",107,"UK, USA","English, Spanish",8.0,78.680331,100.0,80.0
This Is Spinal Tap,1984,"Comedy, Music",82,USA,English,7.9,4.736202,95.0,79.0
Tightrope,1984,"Crime, Mystery, Thriller",114,USA,English,6.3,48.143579,85.0,63.0
Top Secret!,1984,"Comedy, Music",90,"UK, USA","English, German, Yiddish",7.2,20.45834,77.0,72.0
The Woman in Red,1984,"Comedy, Romance",87,USA,English,6.0,25.308147,35.0,60.0
The Adventures of Mark Twain,1985,"Animation, Adventure, Family",86,USA,English,7.4,0.849915,80.0,74.0
After Hours,1985,"Comedy, Crime, Drama",97,USA,English,7.7,10.609321,89.0,77.0
Agnes of God,1985,"Drama, Mystery",98,USA,"English, French, Latin",6.6,25.627836,43.0,66.0
American Flyers,1985,"Drama, Sport",113,USA,English,6.5,1.420355,,65.0
The Aviator,1985,"Adventure, Drama",96,USA,English,5.5,1.304192,20.0,55.0
Baby: Secret of the Lost Legend,1985,"Family, Adventure, Sci-Fi",95,USA,"English, French",5.1,14.972297,13.0,51.0
Back to the Future,1985,"Adventure, Comedy, Sci-Fi",116,USA,English,8.5,388.774684,96.0,85.0
The Black Cauldron,1985,"Animation, Action, Adventure",80,"USA, UK","English, Portuguese",6.4,21.288692,53.0,64.0
The Breakfast Club,1985,"Comedy, Drama",97,USA,English,7.9,51.538286,89.0,79.0
Brewster's Millions,1985,Comedy,102,USA,English,6.5,45.833132,35.0,65.0
The Bride,1985,"Fantasy, Horror, Romance",118,"UK, USA",English,5.4,3.558669,25.0,54.0
The Care Bears Movie,1985,"Animation, Adventure, Comedy",77,"Canada, USA",English,5.7,22.934622,50.0,57.0
A Chorus Line,1985,"Drama, Music, Musical",113,USA,English,6.2,14.202899,40.0,62.0
Clue,1985,"Comedy, Crime, Mystery",94,USA,"English, French",7.3,14.643997,65.0,73.0
Code of Silence,1985,"Action, Crime, Drama",101,USA,English,6.1,20.345361,63.0,61.0
The Color Purple,1985,Drama,154,USA,English,7.8,98.467863,81.0,78.0
Commando,1985,"Action, Adventure, Thriller",90,USA,English,6.7,57.491,71.0,67.0
Creator,1985,"Comedy, Romance, Sci-Fi",107,USA,English,6.2,5.349607,38.0,62.0
D.A.R.Y.L.,1985,"Family, Sci-Fi",99,"UK, USA",English,6.3,7.840873,53.0,63.0
Day of the Dead,1985,"Horror, Thriller",96,USA,English,7.2,5.0,81.0,72.0
Death Wish 3,1985,"Action, Crime, Drama",92,"USA, Canada","English, Spanish",5.9,16.116878,11.0,59.0
Desperately Seeking Susan,1985,"Comedy, Drama",104,USA,English,6.0,27.398584,83.0,60.0
Enemy Mine,1985,"Action, Adventure, Drama",108,"USA, West Germany, UK",English,6.9,12.303411,63.0,69.0
Explorers,1985,"Adventure, Comedy, Family",109,USA,"English, German",6.6,9.873044,77.0,66.0
F/X,1986,"Action, Thriller",109,USA,English,6.7,20.603715,88.0,67.0
Fletch,1985,"Comedy, Crime, Mystery",98,USA,English,6.9,59.612888,77.0,69.0
Fright Night,1985,"Fantasy, Horror, Thriller",106,USA,English,7.1,24.922237,92.0,71.0
Girls Just Want to Have Fun,1985,"Comedy, Music, Romance",90,USA,English,6.0,6.326051,38.0,60.0
The Goonies,1985,"Adventure, Comedy, Family",114,USA,"English, Spanish, Cantonese, Italian",7.8,63.84952,76.0,78.0
Heaven Help Us,1985,"Comedy, Drama, Romance",104,USA,English,7.0,6.070794,33.0,70.0
Into the Night,1985,"Action, Comedy, Crime",115,USA,"English, Persian, French, Spanish",6.5,7.562164,38.0,65.0
Jagged Edge,1985,"Drama, Mystery, Thriller",108,USA,English,6.5,40.491165,81.0,65.0
The Jewel of the Nile,1985,"Action, Adventure, Comedy",106,USA,"English, Arabic",6.2,96.7732,48.0,62.0
The Journey of Natty Gann,1985,"Adventure, Family",101,USA,English,7.1,9.708373,91.0,71.0
Just One of the Guys,1985,"Comedy, Romance",100,USA,English,6.5,11.5289,45.0,65.0
Kiss of the Spider Woman,1985,Drama,120,"Brazil, USA","English, French, Portuguese, German",7.4,17.009654,87.0,74.0
Krush Groove,1985,"Comedy, Drama, Music",97,USA,English,6.5,11.052713,43.0,65.0
Ladyhawke,1985,"Adventure, Comedy, Drama",121,"USA, Italy",English,7.0,18.432,67.0,70.0
The Last Dragon,1985,"Action, Comedy, Drama",109,USA,English,6.9,25.754284,58.0,69.0
Legend,1985,"Adventure, Fantasy, Romance",94,USA,"English, Italian",6.5,15.502112,38.0,65.0
The Legend of Billie Jean,1985,"Action, Drama",96,USA,English,6.7,3.099497,45.0,67.0
Lifeforce,1985,"Action, Horror, Mystery",101,"UK, USA",English,6.2,11.603545,58.0,62.0
Mad Max Beyond Thunderdome,1985,"Action, Adventure, Sci-Fi",107,Australia,English,6.3,36.230219,80.0,63.0
The Man with One Red Shoe,1985,"Comedy, Thriller",92,USA,English,5.7,8.645411,47.0,57.0
The Mean Season,1985,"Crime, Thriller",103,USA,English,6.1,4.349446,50.0,61.0
Mishima: A Life in Four Chapters,1985,"Biography, Drama",120,"USA, Japan","Japanese, English",8.0,0.569996,89.0,80.0
Murphy's Romance,1985,"Comedy, Drama, Romance",107,USA,English,7.0,30.867525,73.0,70.0
National Lampoon's European Vacation,1985,"Adventure, Comedy",95,USA,"English, Italian, German, French",6.2,49.364621,34.0,62.0
Once Bitten,1985,"Comedy, Drama, Fantasy",94,USA,English,5.5,10.0,18.0,55.0
One Magic Christmas,1985,"Family, Fantasy",89,"Canada, USA",English,6.5,13.677222,47.0,65.0
Out of Africa,1985,"Biography, Drama, Romance",161,"USA, UK","English, Swahili",7.2,227.542205,59.0,72.0
Pale Rider,1985,"Drama, Western",115,USA,English,7.3,41.410568,93.0,73.0
Pee-wee's Big Adventure,1985,"Adventure, Comedy, Family",91,USA,"English, French",7.0,40.940662,87.0,70.0
Perfect,1985,"Drama, Romance",115,USA,"English, French",4.5,12.918858,19.0,45.0
Police Academy 2: Their First Assignment,1985,Comedy,87,USA,English,5.8,55.6,31.0,58.0
The Protector,1985,"Action, Crime, Thriller",91,"Hong Kong, USA","English, Cantonese",5.8,0.981817,20.0,58.0
The Purple Rose of Cairo,1985,"Comedy, Fantasy, Romance",82,USA,English,7.7,10.631333,92.0,77.0
The Quiet Earth,1985,"Drama, Mystery, Sci-Fi",91,New Zealand,"English, Maori",6.8,2.123135,71.0,68.0
Rainbow Brite and the Star Stealer,1985,"Animation, Adventure, Family",85,"USA, Japan, France",English,6.9,4.889971,0.0,69.0
Rambo: First Blood Part II,1985,"Action, Adventure, Thriller",96,"USA, Mexico","English, Vietnamese, Russian",6.5,300.400432,35.0,65.0
Ran,1985,"Action, Drama, War",162,"Japan, France",Japanese,8.2,4.163377,97.0,82.0
Re-Animator,1985,"Comedy, Horror, Sci-Fi",104,USA,"English, German",7.2,2.023414,93.0,72.0
Real Genius,1985,"Comedy, Romance, Sci-Fi",108,USA,English,7.0,12.952019,73.0,70.0
Red Sonja,1985,"Action, Adventure, Fantasy",89,"USA, Netherlands, Italy",English,5.1,6.951415,15.0,51.0
The Return of the Living Dead,1985,"Comedy, Horror, Sci-Fi",91,USA,English,7.3,14.23788,91.0,73.0
Return to Oz,1985,"Adventure, Family, Fantasy",113,"UK, USA",English,6.7,11.137801,53.0,67.0
Revolution,1985,"Adventure, Drama, History",126,"UK, Norway",English,5.3,0.358574,10.0,53.0
Rocky IV,1985,"Drama, Sport",91,USA,"English, Russian",6.9,300.473716,40.0,69.0
Runaway Train,1985,"Action, Adventure, Drama",111,USA,English,7.2,7.68362,85.0,72.0
